Locality,Type_of_property,Subtype_of_property,Price,TransactionType,No_of_rooms,Kitchen,IsFurnished,Fireplace_exist,Garden,Terrace,Surface_area_of_land,Living_area,Facade_count,Swimming_pool,State_of_building
chaussée de Wavre   109,house group,house group,310500 - 326025,for sale,,0,0,0,0,0,,nullm2,,0,,
Pachterslei   8,house group,house group,310700 - 336300,for sale,,0,0,0,0,0,,nullm2,,0,,
Belgradestraat   36,house,house,313210,for sale,4,1,0,0,1,1,250m2,252m2,2,0,to renovate,
Jan van Droogenbroeckstraat   55,house group,house group,315000 - 349000,for sale,,0,0,0,0,0,,nullm2,,0,,
Regatta   -,house group,house group,316000 - 350000,for sale,,0,0,0,0,0,,nullm2,,0,,
Rotterij   150,house,villa,320000,for sale,4,1,0,0,1,0,2565m2,205m2,4,0,to renovate,
Rue aux Deux Croix   3,house group,house group,324000 - 349500,for sale,,0,0,0,0,0,,nullm2,,0,,
Avenue Bel Horizon   59,house,house,325000,for sale,3,1,0,0,1,1,712m2,127m2,4,0,to be done up,
Stationsstraat,house group,house group,325000 - 399000,for sale,,0,0,0,0,0,,nullm2,,0,,
1370    —        Jodoigne      |,house group,house group,326025 - 326025,for sale,,0,0,0,0,0,,nullm2,,0,,
Stelhainstraat   9,house group,house group,331526 - 331526,for sale,,0,0,0,0,0,,nullm2,,0,,
Rue de Géronsart   280,house group,house group,335000 - 335000,for sale,,0,0,0,0,0,,nullm2,,0,,
Paddenweg,house group,house group,336000 - 393000,for sale,,0,0,0,0,0,,nullm2,,0,,
Rue des Fusilles   3,/I,house group,house group,342500 - 429500,for sale,,0,0,0,0,0,,nullm2,,0,
Warandelaan   344,house,house,345000,for sale,3,1,0,0,1,1,172m2,134m2,2,0,to be done up,
Ovide Decrolylaan   76,house,villa,345000,for sale,3,1,0,0,1,1,871m2,172m2,4,0,to renovate,
Nachtegaalstraat   7,house,house,349000,for sale,3,1,0,0,1,1,145m2,129m2,2,0,good,
Rue rouge croix   2,house,villa,350000,for sale,3,1,0,0,1,1,2366m2,144m2,4,1,as new,
Rue Caule   30,house,villa,365000,for sale,3,1,0,0,1,1,620m2,110m2,4,1,good,
Lange Dijkstraat,house group,house group,365000 - 365000,for sale,,0,0,0,0,0,,nullm2,,0,,
Jordaensstraat   43,house group,house group,366500 - 366500,for sale,,0,0,0,0,0,,nullm2,,0,,
Rue Chapelle Sainte Anne,house group,house group,371000 - 391000,for sale,,0,0,0,0,0,,nullm2,,0,,
Rue Julien Marsille   157,house,house,375000,for sale,4,1,0,0,1,1,392m2,160m2,3,0,as new,
IJsmolenstraat   10          Box B,house,villa,375000,for sale,3,1,0,0,1,1,1322m2,150m2,4,0,good,
Rue Sylvain Panis   51,house,house,380000,for sale,4,1,0,0,1,1,1513m2,198m2,4,0,good,
Rue de la Lasne   15,house,villa,385000,for sale,4,1,0,0,1,1,1000m2,166m2,4,0,to be done up,
Grensstraat   42-44,house group,house group,387548 - 394469,for sale,,0,0,0,0,0,,nullm2,,0,,
8570    —        Anzegem      |,house group,house group,392500 - 417500,for sale,,0,0,0,0,0,,nullm2,,0,,
Rue Saint-Domitien   13,house,exceptional property,395000,for sale,5,1,0,0,1,1,603m2,400m2,4,0,as new,
Rue Victor Rousseau   16,house,house,395000,for sale,4,1,0,0,1,1,3145m2,380m2,4,0,good,
Bogaardenstraat   15,house,town house,396000,for sale,3,1,0,0,1,1,269m2,198m2,3,0,good,
Zwaluwlaan   14,house,house,399000,for sale,3,1,0,0,0,1,472m2,190m2,4,0,as new,
2860    —        SINT-KATELIJNE-WAVER      |,house group,house group,403700 - 435750,for sale,,0,0,0,0,0,,nullm2,,0,,
Avenue des Vallées   54,house,house,410000,for sale,3,1,0,0,1,1,878m2,147m2,4,0,good,
Hortensiastraat   26,house,house,410000,for sale,2,1,1,0,1,1,250m2,130m2,3,0,as new,
7181    —        PETIT-ROEULX-LEZ-NIVELLES      |,house group,house group,412000 - 565582,for sale,,0,0,0,0,0,,nullm2,,0,,
8710    —        OOIGEM      |,house group,house group,412000 - 412000,for sale,,0,0,0,0,0,,nullm2,,0,,
Vloeiende   5,house group,house group,417000 - 432000,for sale,,0,0,0,0,0,,nullm2,,0,,
1495    —        Villers-la-Ville      |,house group,house group,420000 - 420000,for sale,,0,0,0,0,0,,nullm2,,0,,
Rue le Marais   88,house,house,425000,for sale,4,1,0,1,1,1,893m2,330m2,2,0,as new,
Sint-Alenalaan   53,house,house,438000,for sale,4,1,0,0,1,1,175m2,217m2,2,0,good,
Sint-Alenalaan   53,house,mixed use building,438000,for sale,4,1,0,0,1,1,175m2,217m2,2,0,good,
Clos de la Riviere   24,house,villa,440000,for sale,3,1,0,0,1,1,752m2,120m2,4,1,good,
Rue de Boelhe   2,house,villa,440000,for sale,4,1,0,0,1,1,2417m2,210m2,4,0,good,
Rue Vanderstichelen   81,house,house,449000,for sale,4,1,0,0,0,1,68m2,137m2,2,0,as new,
Avenue de la Bugrane   50,house,house,450000,for sale,3,1,0,0,1,1,131m2,150m2,2,0,good,
Avenue Emile Van Ermengem   17,house,house,475000,for sale,4,1,0,0,1,1,259m2,175m2,2,0,to be done up,
Doornzelestraat   23,house group,house group,483000 - 618700,for sale,,0,0,0,0,0,,nullm2,,0,,
Doornzelestraat   23-31,house group,house group,483000 - 618700,for sale,,0,0,0,0,0,,nullm2,,0,,
TONDELIERLAAN   14,house group,house group,485000 - 515000,for sale,,0,0,0,0,0,,nullm2,,0,,
Lange Leemstraat   374,house group,house group,488000 - 499000,for sale,,0,0,0,0,0,,nullm2,,0,,
Chaussee Brunehault   99          Box B,house,house,499000,for sale,7,1,0,0,1,1,4322m2,388m2,4,0,to be done up,
Rue De Waremme   63,house,exceptional property,500000,for sale,4,1,0,0,1,1,2137m2,240m2,4,0,as new,
demander en agence   63,house,exceptional property,500000,for sale,4,1,0,0,1,1,2137m2,240m2,4,0,as new,
Chemin du Beau Vallon   5,house,villa,516000,for sale,3,1,0,0,1,1,3620m2,165m2,4,0,good,
Avenue des Pagodes   415,house,house,539000,for sale,6,1,1,0,1,1,386m2,390m2,2,0,to renovate,
Sluisstraat,house group,house group,539750 - 582100,for sale,,0,0,0,0,0,,nullm2,,0,,
Avenue Francois-Bernard Verboven   2,house,town house,540000,for sale,3,1,0,0,0,1,73m2,127m2,2,0,good,
Boomkwekerijstraat   157-159,house,house,550000,for sale,5,1,0,0,1,1,523m2,315m2,3,0,as new,
Rue Jean Sebastien Bach   14,house,house,585000,for sale,4,1,0,0,1,1,400m2,230m2,3,0,as new,
Boulevard du Jubile   104,house,house,595000,for sale,5,1,0,0,1,1,95m2,250m2,2,0,good,
Neerhoflaan   9,house group,house group,595000 - 645000,for sale,,0,0,0,0,0,,nullm2,,0,,
Brusselsesteenweg   552,house group,house group,595000 - 595000,for sale,,0,0,0,0,0,,nullm2,,0,,
Dreve des Saules   4,house,house,599000,for sale,4,1,0,0,1,1,439m2,163m2,3,0,good,
Rue Marie-Henriette   6,house,house,599000,for sale,4,1,0,0,0,0,94m2,300m2,2,0,to be done up,
Avenue Joseph Chaudron   91,house,house,620000,for sale,4,1,0,0,1,1,354m2,177m2,2,0,to be done up,
Stefaan-Modest Glorieuxlaan   19,house,house,620000,for sale,4,1,0,1,1,1,569m2,393m2,2,0,good,
Stefaan-Modest Glorieuxlaan   19,house,house,620000,for sale,4,1,0,1,1,1,569m2,393m2,2,0,good,
Rue Georges Rency   14,house,house,625000,for sale,4,1,0,0,1,1,112m2,195m2,2,0,good,
Weggevoerdenlaan   26,house,town house,625000,for sale,4,1,0,0,0,1,474m2,275m2,3,0,good,
Timmerik   10,house,house,635000,for sale,3,1,0,0,1,1,912m2,212m2,4,0,good,
Pierrelaan   18,house,house,649000,for sale,3,1,0,1,1,1,1207m2,212m2,4,1,as new,
Venelle du Grand Bon Dieu du Tour   26,house,house,650000,for sale,5,1,0,0,1,1,1194m2,230m2,4,0,as new,
Bottelarij,house group,house group,669300 - 989100,for sale,,0,0,0,0,0,,nullm2,,0,,
Rue Robert Scott   41,house,house,675000,for sale,4,1,0,0,1,1,120m2,180m2,2,0,good,
Avenue Orban   19,house,house,680000,for sale,3,1,0,0,1,1,355m2,142m2,3,0,to be done up,
avenue Jean de Bologne   20,house,house,690000,for sale,5,1,0,0,1,1,780m2,283m2,2,0,to renovate,
Rue Hugo Verriest   38,house,house,695000,for sale,5,1,0,0,1,1,661m2,287m2,4,0,as new,
Reinaertstraat   99,house,house,698000,for sale,4,1,0,0,1,1,165m2,265m2,3,0,good,
Chaussée de Mons   65,house,house,699000,for sale,6,1,0,1,1,1,185m2,370m2,2,0,to renovate,
Rue de Stalle   40,house group,house group,710000 - 710000,for sale,,0,0,0,0,0,,nullm2,,0,,
Dreve Pittoresque   38,house,house,730000,for sale,5,1,0,0,1,1,820m2,238m2,3,0,good,
Rue du Meunier   18,house,villa,750000,for sale,6,1,0,0,0,1,1127m2,473m2,4,0,good,
Rue du Meunier   18,house,house,750000,for sale,6,1,0,0,0,1,1127m2,473m2,4,0,good,
Rue de Verrewinkel   26,house,house,795000,for sale,4,1,0,0,1,1,267m2,176m2,3,0,good,
Boulevard General Wahis   238,house,mixed use building,800000,for sale,8,1,0,0,1,1,295m2,420m2,2,0,good,
Korbeekse Kerkstraat   10,house,exceptional property,845000,for sale,4,1,0,0,1,1,1869m2,400m2,4,0,good,
Leernsesteenweg   87,house,house,856000,for sale,4,1,0,1,1,1,2400m2,492m2,3,0,to be done up,
Chaussée de Saint Job   148,house,town house,859000,for sale,6,1,0,0,1,1,330m2,295m2,3,0,good,
Rue Mathy   20,house,villa,949000,for sale,5,1,0,0,1,1,24687m2,300m2,4,0,good,
Baron de Man d'Attenrodestraat   1,house,exceptional property,989000,for sale,4,1,0,0,1,1,1408m2,400m2,4,0,as new,
Boulevard General Jacques   36,house,house,995000,for sale,4,1,0,0,1,1,270m2,300m2,2,0,good,
Tomberg   8,house,house,995000,for sale,4,1,0,0,1,1,836m2,200m2,3,0,good,
Rue des Bollandistes   56,house,house,1260000,for sale,4,1,0,0,1,1,185m2,345m2,2,0,as new,
Chaussée de Louvain   251,house,apartment block,1300000,for sale,9,1,0,0,0,1,348m2,804m2,2,0,good,
Avenue Franklin Roosevelt   214A,house,house,1375000,for sale,6,1,0,1,1,1,508m2,427m2,3,0,as new,
Avenue des Ombrages,39,house,mansion,2495000,for sale,6,1,0,0,0,1,561m2,460m2,2,0,as new
Limburgstraat   27,house,house,305000,for sale,3,1,0,0,1,0,120m2,108m2,2,0,to be done up,
Gullegemsestraat   6,house,mixed use building,320000,for sale,3,1,0,0,0,1,130m2,209m2,2,0,good,
Holleweg   11,house,villa,450000,for sale,3,1,0,0,0,1,829m2,250m2,4,0,good,
Rue de Baya   11 A,house,house,465000,for sale,3,1,0,1,0,1,1259m2,186m2,4,0,as new,
Beselarestraat   111,house,villa,499500,for sale,3,1,0,0,0,1,1425m2,205m2,4,0,good,
Rue du Fossé   93,house,house,215000,for sale,3,1,0,0,1,1,334m2,120m2,2,0,,
Rue Hyacinthe Collette   69,house,house,225000,for sale,3,0,0,0,0,1,137m2,116m2,2,0,good,
Vooreel   69a,house,house,695000,for sale,6,1,0,1,0,1,2336m2,499m2,4,1,good,
Bredestraat   36,house,villa,785000,for sale,5,1,0,0,0,0,5981m2,340m2,4,0,good,
Asseveldstraat   12,house,house,575000,for sale,4,1,0,0,0,1,1868m2,280m2,4,0,good,
