Locality,Type_of_property,Subtype_of_property,Price,TransactionType,No_of_rooms,Kitchen,IsFurnished,Fireplace_exist,Garden,Terrace,Surface_area_of_land,Living_area,Facade_count,Swimming_pool,State_of_building
Sint-Janstraat   16,house,house,399000,for sale,3,1,0,1,1,1,421m2,282m2,2,0,good
Tijmstraat   22,house,house,399000,for sale,3,1,0,0,0,1,495m2,180m2,3,0,good
1190    —        Forest      |,house,house,400000,for sale,5,1,0,0,0,1,90m2,210m2,2,0,just renovated
1400    —        Nivelles      |,house,villa,400000,for sale,5,1,0,0,0,1,953m2,200m2,4,0,good
Rue Duresse   34,house,town house,400000,for sale,3,1,0,0,0,1,1610m2,nullm2,4,0,just renovated
Woubrechtstraat   10,house,house,409000,for sale,3,1,0,0,1,1,288m2,255m2,2,0,as new
1180    —        Uccle      |,house,house,415000,for sale,4,1,0,0,0,0,90m2,170m2,2,0,good
1420    —        Braine-l'Alleud      |,house,house,415000,for sale,4,1,0,0,0,0,759m2,210m2,3,0,good
4802    —        Heusy      |,house,house,415000,for sale,4,1,0,1,1,1,1790m2,164m2,4,0,to be done up
Marslaan   45,house,house,418000,for sale,4,1,0,1,0,1,545m2,213m2,4,0,as new
Katoenstraat   19,house,house,420500,for sale,3,1,0,0,0,0,365m2,217m2,3,0,
Katoenstraat   17,house,house,422100,for sale,3,1,0,0,0,0,370m2,217m2,3,0,
Dieseghemlei   92,house,house,425000,for sale,3,1,0,0,0,0,300m2,158m2,3,0,to renovate
Rue de Saint-Denis   53,house,house,425000,for sale,3,1,0,1,1,0,853m2,170m2,4,0,as new
Groteweg   422          Box B,house,house,435000,for sale,4,1,0,0,1,1,1765m2,350m2,4,0,good
Katoenstraat   21,house,house,438510,for sale,3,0,0,0,0,0,360m2,231m2,3,0,
Katoenstraat   15,house,house,443300,for sale,3,1,0,0,0,0,375m2,231m2,3,0,
Koutermanstraat   2b,house,villa,449000,for sale,4,1,0,0,1,1,720m2,240m2,4,0,as new
Avenue de la Reine   361,house,house,450000,for sale,7,1,0,0,0,0,0m2,306m2,3,0,good
1640    —        Rhode-Saint-Genese      |,house,house,450000,for sale,2,1,0,0,1,1,890m2,105m2,4,0,to renovate
3040    —        SINT-AGATHA-RODE      |,house,house,461000,for sale,3,1,0,0,1,1,1965m2,471m2,4,0,to be done up
7300    —        Boussu      |,house,exceptional property,465000,for sale,4,1,0,0,1,1,1155m2,280m2,4,1,good
7300    —        Boussu      |,house,villa,465000,for sale,4,1,0,0,1,1,1155m2,280m2,4,1,good
Korte Schipstraat   8,house,house,469000,for sale,3,1,0,0,1,1,69m2,186m2,2,0,as new
Avenue Ferdauci - Ferdaucilaan   17,house,house,475000,for sale,3,1,0,1,1,1,210m2,160m2,2,0,good
1390    —        Grez-Doiceau      |,house,house,475000,for sale,6,1,0,0,0,1,980m2,459m2,4,0,good
1653    —        Beersel      |,house,villa,475000,for sale,3,1,0,0,1,0,686m2,249m2,4,0,to be done up
1400    —        Nivelles      |,house,house,480000,for sale,4,1,0,0,0,1,402m2,161m2,3,0,as new
Aarschotsesteenweg   548,house,villa,485000,for sale,4,1,0,0,1,0,16000m2,250m2,4,0,to be done up
Rue Reichel   2,house,house,490000,for sale,5,1,0,0,0,1,1670m2,350m2,3,0,good
1820    —        Steenokkerzeel      |,house,villa,493000,for sale,3,1,0,1,0,1,763m2,200m2,4,0,good
Pothoekstraat   26,house,house,495000,for sale,4,1,1,0,1,0,95m2,247m2,2,0,just renovated
Rue du Château d'eau   22,house,villa,495000,for sale,4,1,0,0,1,0,2545m2,230m2,4,0,as new
Rue du Clavia   10,house,house,495000,for sale,5,1,0,0,0,1,1666m2,nullm2,4,0,good
Lange Violettestraat   172/B,house,house,495000,for sale,2,1,1,0,1,0,50m2,114m2,2,0,as new
Franz Courtensstraat   32A,house,house,495000,for sale,4,1,0,1,1,1,169m2,214m2,2,0,
1070    —        Anderlecht      |,house,mansion,499000,for sale,5,1,0,0,0,0,66m2,235m2,2,0,just renovated
Domentveldstraat   1,house,house,499000,for sale,5,1,0,0,0,1,799m2,300m2,4,0,as new
1325    —        Chaumont-Gistoux      |,house,house,510000,for sale,3,1,0,0,0,1,1538m2,200m2,4,0,as new
1030    —        Schaerbeek      |,house,house,525000,for sale,4,1,0,0,1,1,0m2,202m2,2,0,to be done up
1200    —        WOLUWE-SAINT-LAMBERT      |,house,house,525000,for sale,4,1,0,0,1,1,0m2,202m2,2,0,to be done up
1300    —        Wavre      |,house,exceptional property,525000,for sale,4,1,0,0,1,1,1850m2,355m2,4,0,to renovate
Zeitje   7,house,villa,529000,for sale,3,0,0,0,0,1,1734m2,207m2,4,0,as new
Zeitje   7,house,house,529000,for sale,3,0,0,0,0,1,1734m2,207m2,4,0,as new
Dwarsstraat   22,house,house,535000,for sale,5,1,0,0,0,0,0m2,287m2,2,0,good
1348    —        Louvain-La-Neuve      |,house,house,540000,for sale,5,1,0,0,0,1,318m2,150m2,3,0,good
1930    —        Zaventem      |,house,house,545000,for sale,6,1,0,0,1,1,390m2,330m2,3,0,good
Lange Lostraat   58,house,house,549000,for sale,3,0,0,0,1,1,1116m2,203m2,4,0,
6970    —        Tenneville      |,house,exceptional property,550000,for sale,8,1,0,0,1,1,7000m2,506m2,4,0,to be done up
Jan Frans Vonckstraat   18,house,villa,564000,for sale,4,1,0,0,0,1,4000m2,254m2,4,0,to be done up
Klaverstraat   34,house,villa,570000,for sale,4,0,0,0,1,1,2430m2,330m2,4,0,to renovate
Kemzekestraat   16,house,villa,575000,for sale,6,1,0,0,0,0,1766m2,310m2,4,0,to be done up
1300    —        Wavre      |,house,house,580000,for sale,6,1,0,0,1,1,499m2,331m2,4,0,good
6700    —        Arlon      |,house,house,580000,for sale,4,1,0,0,1,1,188m2,214m2,2,0,as new
3090    —        Overijse      |,house,house,588000,for sale,3,1,0,0,1,1,1950m2,252m2,4,0,as new
Kalverstraat   9,house,house,590000,for sale,3,1,0,0,0,0,371m2,288m2,4,0,
Demander l'adresse à l'agence   1,house,villa,590000,for sale,4,1,0,0,0,0,1050m2,250m2,4,1,as new
1325    —        Chaumont-Gistoux      |,house,apartment block,595000,for sale,5,1,0,1,0,0,2000m2,232m2,4,0,
1325    —        Chaumont-Gistoux      |,house,villa,595000,for sale,5,1,0,1,0,0,2000m2,232m2,4,0,
Rue du Tilleul   31,house,villa,595000,for sale,4,1,0,0,0,1,1136m2,210m2,4,1,good
Molenbergstraat   19,house,exceptional property,595000,for sale,5,1,0,0,1,0,373m2,350m2,3,0,as new
Theo Andriesstraat   32,house,villa,595000,for sale,5,1,0,0,1,1,2870m2,260m2,4,0,just renovated
Avenue des Fossés   2,house,house,595000,for sale,8,1,0,0,1,1,0m2,525m2,nu,0,good
1040    —        Etterbeek      |,house,mansion,599000,for sale,5,1,0,0,1,1,175m2,290m2,2,0,to renovate
1030    —        Schaerbeek      |,house,house,600000,for sale,6,1,0,0,1,1,210m2,290m2,2,0,as new
1320    —        HAMME-MILLE      |,house,house,600000,for sale,4,1,0,1,0,1,2345m2,270m2,4,0,good
Batta   1-3,house,exceptional property,600000,for sale,5,0,0,0,0,1,320m2,500m2,3,0,
Kalverstraat   11,house,house,625000,for sale,3,1,0,0,0,0,418m2,288m2,4,0,
rue des Artisans   40,house,villa,625000,for sale,4,1,0,0,1,1,1500m2,345m2,4,1,good
Grote Bollostraat,house,villa,631600,for sale,3,1,0,0,0,1,684m2,322m2,4,0,as new
Rue de Focagne   7,house,house,645000,for sale,5,1,0,0,1,1,3390m2,337m2,4,0,as new
1640    —        RHODE-SAINT-GENÈSE      |,house,apartment block,649000,for sale,7,1,0,0,0,0,805m2,280m2,2,0,good
Gentpoortstraat   6,house,house,649000,for sale,3,1,0,1,0,1,320m2,nullm2,2,0,good
1435    —        MONT-SAINT-GUIBERT      |,house,country cottage,650000,for sale,5,1,0,1,0,1,7863m2,164m2,4,0,to renovate
Van Schoonbekestraat   134,house,mansion,650000,for sale,4,1,0,0,1,1,61m2,265m2,2,0,as new
1200    —        Woluwe-Saint-Lambert      |,house,house,675000,for sale,3,1,0,0,1,0,146m2,180m2,2,0,as new
1933    —        Zaventem Sterrebeek      |,house,house,690000,for sale,3,1,0,0,0,1,548m2,207m2,3,0,as new
Justitiestraat   8,house,house,695000,for sale,3,1,0,0,0,0,147m2,350m2,2,0,to be done up
Rue Albert Ier   48,house,house,695000,for sale,5,1,0,0,0,1,9900m2,315m2,4,0,good
7760    —        POPUELLES      |,house,country cottage,698000,for sale,3,1,0,0,0,1,2049m2,300m2,4,0,just renovated
7760    —        POPUELLES      |,house,country cottage,698000,for sale,3,1,0,0,0,1,2049m2,300m2,4,0,just renovated
rue de la Promenade   55,house,house,699000,for sale,6,1,0,0,0,1,5500m2,465m2,4,0,good
1470    —        Genappe Baisy-Thy      |,house,house,735000,for sale,6,1,0,0,1,1,10000m2,300m2,4,0,to be done up
2960    —        Brecht      |,house,villa,735000,for sale,5,1,0,0,0,1,3600m2,330m2,4,0,good
1410    —        Waterloo      |,house,villa,745000,for sale,4,1,0,0,0,1,708m2,248m2,4,0,as new
Hoge-Aardstraat   117,house,house,745000,for sale,5,0,0,1,1,0,303m2,275m2,3,0,good
1180    —        Uccle      |,house,house,750000,for sale,5,1,0,0,1,1,303m2,165m2,3,0,as new
1500    —        Hal      |,house,exceptional property,750000,for sale,4,1,0,0,1,1,1384m2,210m2,4,0,as new
9620    —        Zottegem      |,house,villa,750000,for sale,5,1,0,0,1,1,1834m2,450m2,4,0,as new
6780    —        WOLKRANGE      |,house,house,775000,for sale,4,1,0,1,1,1,778m2,240m2,4,0,as new
Diepestraat   21,house,apartment block,775000,for sale,6,1,0,0,1,0,2500m2,2000m2,4,0,to renovate
Diepestraat   21,house,house,775000,for sale,6,1,0,0,1,0,2500m2,2000m2,4,0,to renovate
1330    —        Rixensart      |,house,villa,780000,for sale,3,1,0,0,0,1,2442m2,250m2,4,0,as new
Rue de la Marjolaine,house,exceptional property,795000,for sale,3,1,1,0,1,1,242m2,279m2,2,0,as new
1410    —        Waterloo      |,house,villa,795000,for sale,5,1,0,1,1,1,1248m2,290m2,4,0,just renovated
rue du noyer   5,house,farmhouse,795000,for sale,11,1,0,0,1,1,3600m2,550m2,4,0,good
1000    —        Bruxelles      |,house,apartment block,825000,for sale,8,1,0,0,1,1,120m2,245m2,2,0,to be done up
D'eike   9,house,house,825000,for sale,4,1,0,0,1,0,790m2,360m2,4,1,as new
Peperhoek   12,house,villa,848000,for sale,5,1,0,0,0,0,1989m2,nullm2,4,0,
1370    —        SAINT-JEAN-GEEST      |,house,exceptional property,850000,for sale,4,1,0,1,1,1,7474m2,375m2,4,0,good
1560    —        Hoeilaart      |,house,villa,850000,for sale,4,1,0,0,1,1,830m2,300m2,4,0,good
Chaussée Romaine   22,house,exceptional property,850000,for sale,5,1,0,0,1,1,3517m2,300m2,4,1,as new
Rue Keyenveld   65,house,house,870000,for sale,3,1,0,1,0,1,180m2,175m2,4,0,as new
1090    —        Jette      |,house,mansion,875000,for sale,5,1,0,1,1,1,247m2,387m2,2,0,just renovated
3090    —        Overijse      |,house,house,895000,for sale,5,1,0,0,1,1,3664m2,320m2,4,0,good
Waterstraat   57,house,villa,899000,for sale,4,1,0,1,1,1,2055m2,270m2,4,1,as new
1380    —        Lasne      |,house,house,949000,for sale,5,1,0,0,1,1,1700m2,264m2,4,1,as new
1650    —        Beersel      |,house,house,949000,for sale,4,1,0,0,0,0,1409m2,358m2,4,0,good
1652    —        Alsemberg      |,house,house,949000,for sale,4,1,0,0,0,0,1409m2,358m2,4,0,good
1653    —        Dworp      |,house,house,949000,for sale,4,1,0,0,0,0,1409m2,358m2,4,0,good
1640    —        Rhode-Saint-Genese      |,house,house,950000,for sale,3,1,0,0,0,1,253m2,300m2,2,0,as new
1600    —        SINT-PIETERS-LEEUW      |,house,country cottage,975000,for sale,5,1,0,1,0,0,8220m2,320m2,4,1,good
1200    —        Woluwe-Saint-Lambert      |,house,house,990000,for sale,7,1,0,0,1,1,182m2,345m2,2,0,good
Zandstraat   77,house,villa,998000,for sale,5,1,0,0,1,1,5775m2,450m2,4,1,as new
Rue des Ménapiens   36,house,house,999000,for sale,6,0,0,0,0,1,230m2,350m2,2,0,to renovate
1330    —        Rixensart      |,house,villa,1090000,for sale,4,1,0,0,1,0,1250m2,400m2,4,0,good
Avenue  Rogier   248,house,house,1100000,for sale,6,0,0,0,0,1,480m2,300m2,2,0,good
3090    —        Overijse      |,house,villa,1145000,for sale,4,1,0,1,0,1,1903m2,280m2,4,0,as new
Steenweg op Weelde   21,house,house,1175000,for sale,6,1,0,0,0,1,150150m2,1174m2,4,0,to restore
3090    —        Overijse      |,house,exceptional property,1190000,for sale,5,1,0,0,1,1,1379m2,400m2,4,0,good
Kleine Parijsstraat   4,house,country cottage,1195000,for sale,4,1,0,0,1,1,6830m2,260m2,4,1,good
Molenstraat   63,house,villa,1195000,for sale,12,0,0,1,0,1,21150m2,770m2,4,0,
Avenue Adolphe Buyl   33,house,mansion,1200000,for sale,5,0,0,0,1,1,0m2,425m2,2,0,to renovate
7520    —        Tournai Templeuve      |,house,house,1250000,for sale,8,1,0,0,1,1,1100m2,520m2,2,1,as new
3080    —        Tervuren      |,house,villa,1295000,for sale,5,1,0,1,0,1,2304m2,550m2,4,0,good
1000    —        Bruxelles      |,house,apartment block,1350000,for sale,4,1,1,0,0,1,76m2,293m2,3,0,as new
Kapelsesteenweg   224/a,house,villa,1465000,for sale,4,1,0,0,0,1,1914m2,306m2,4,0,as new
1180    —        Uccle      |,house,house,1550000,for sale,8,1,0,0,1,0,0m2,400m2,2,0,good
1200    —        Woluwe-Saint-Lambert      |,house,house,1645000,for sale,4,1,0,0,0,1,880m2,460m2,4,0,as new
1370    —        Jauchelette      |,house,exceptional property,1850000,for sale,4,1,0,0,0,0,8526m2,335m2,4,0,just renovated
Elizabetlaan,house,villa,1875000,for sale,8,1,0,0,0,0,350m2,270m2,nu,0,as new
Elizabetlaan   309,house,villa,1875000,for sale,8,1,0,0,0,1,270m2,350m2,3,0,as new
1150    —        Woluwe-Saint-Pierre      |,house,house,1950000,for sale,6,1,0,0,1,1,598m2,410m2,3,0,good
1150    —        WOLUWE-SAINT-PIERRE      |,house,villa,2150000,for sale,6,1,0,0,0,1,400m2,460m2,nu,0,as new
1180    —        Uccle      |,house,villa,2250000,for sale,4,1,0,0,1,1,1850m2,450m2,4,0,as new
1180    —        Uccle      |,house,villa,2600000,for sale,4,0,0,1,0,0,1425m2,331m2,nu,0,good
1180    —        Uccle      |,house,house,2750000,for sale,6,1,0,0,1,1,2670m2,356m2,3,0,good
1180    —        Uccle      |,house,villa,2750000,for sale,6,1,0,0,0,1,1400m2,465m2,4,1,as new
1000    —        BRUXELLES      |,house,house,2800000,for sale,5,1,0,0,1,0,2363m2,600m2,4,0,as new
1640    —        RHODE-SAINT-GENESE      |,house,villa,2800000,for sale,6,1,0,0,1,1,2252m2,478m2,4,0,as new
1180    —        Uccle      |,house,house,2895000,for sale,6,1,0,0,1,1,1516m2,650m2,4,0,good
1000    —        Bruxelles      |,house,apartment block,3200000,for sale,0,1,0,0,1,1,0m2,1425m2,2,0,to be done up
1180    —        Uccle      |,house,exceptional property,3250000,for sale,5,1,0,0,1,1,2000m2,540m2,4,1,as new
1630    —        Linkebeek      |,house,exceptional property,3250000,for sale,5,1,0,0,1,1,2000m2,540m2,4,1,as new
1640    —        Rhode-Saint-Genese      |,house,exceptional property,3250000,for sale,5,1,0,0,1,1,2000m2,540m2,4,1,as new
1050    —        Ixelles      |,house,exceptional property,3450000,for sale,7,1,0,0,1,1,402m2,666m2,2,0,as new
1150    —        Woluwe-Saint-Pierre      |,house,exceptional property,3800000,for sale,7,1,0,0,0,1,1390m2,600m2,4,1,as new
2610    —        Wilrijk      |,house,house,3995000,for sale,6,1,0,0,1,1,2829m2,1200m2,3,1,
2900    —        Schoten      |,house,villa,5000000,for sale,10,1,0,0,0,1,16750m2,1500m2,4,1,good
3090    —        Overijse      |,house,castle,9500000,for sale,12,1,0,0,0,1,500000m2,1100m2,4,1,as new
Bergstraat   8.4,house,house,244048,for sale,4,1,0,0,0,1,154m2,136m2,2,0,
Alfons Jeurissenstraat   87,house,villa,389000,for sale,3,1,0,0,0,0,1000m2,162m2,nu,0,as new
Engelsenlaan   5/0001,house,house,205000,for sale,2,1,0,0,1,0,141m2,84m2,2,0,good
Sparstraat   48,house,house,275000,for sale,4,1,0,0,0,1,260m2,193m2,nu,0,good
Rue du Faubourg   19,house,house,195000,for sale,3,1,1,0,0,1,1013m2,75m2,4,0,
Rue Saint-Nicolas   10,house,house,369000,for sale,3,1,0,0,1,1,648m2,155m2,4,0,as new
1040    —        Etterbeek      |,house,house,1090000,for sale,5,1,0,0,1,1,210m2,320m2,2,0,
Rue de Waremme   11/A,house,house,174500,for sale,3,0,0,0,1,1,288m2,110m2,3,0,
Val de la Berwinne,house,villa,195000,for sale,3,1,0,0,1,1,190m2,180m2,3,0,as new
Val de la Berwinne,house,villa,230000,for sale,3,1,0,0,1,1,190m2,180m2,3,0,as new
Val de la Berwinne,house,villa,230000,for sale,3,1,0,0,1,1,190m2,180m2,3,0,as new
Blauwvoetstraat   28,house,house,239000,for sale,4,1,0,0,0,0,185m2,173m2,2,0,as new
7131    —        Waudrez      |,house,house,299000,for sale,5,1,0,0,0,0,438m2,160m2,4,0,good
1630    —        Linkebeek      |,house,house,320000,for sale,2,0,0,0,0,0,255m2,120m2,nu,0,to renovate
Heirstraat   29,house,house,320000,for sale,3,1,0,0,1,1,1352m2,212m2,3,0,to renovate
Corremansstraat   156,house,town house,334300,for sale,4,1,0,0,0,0,134m2,216m2,3,0,as new
Haasdonkbaan   39,house,house,364300,for sale,3,1,0,0,0,0,185m2,128m2,2,0,as new
Corremansstraat   132,house,town house,374300,for sale,4,1,0,0,0,0,150m2,216m2,2,0,as new
Haasdonkbaan   43,house,house,378600,for sale,3,1,0,0,0,0,245m2,144m2,2,0,as new
Corremansstraat   126,house,town house,379300,for sale,4,1,0,0,0,0,155m2,216m2,2,0,as new
Potaardestraat   127,house,house,392400,for sale,3,1,0,0,0,0,476m2,144m2,3,0,as new
Potaardestraat   101,house,house,394800,for sale,3,1,0,0,0,0,476m2,144m2,3,0,as new
Lakenmakersstraat   249,house,house,425000,for sale,5,1,0,0,0,1,180m2,287m2,4,0,just renovated
Rue Korenbeek   68,house,apartment block,435000,for sale,4,1,0,0,0,1,120m2,204m2,2,0,as new
Liersesteenweg   106,house,house,447600,for sale,3,1,0,0,0,0,970m2,233m2,4,0,as new
Werfstraat   145,house,house,450000,for sale,3,0,0,0,0,1,126m2,204m2,nu,0,
Liersesteenweg   106,house,house,455000,for sale,4,1,0,0,0,0,885m2,185m2,4,0,as new
Heerweg   10,house,house,457100,for sale,3,1,0,0,0,0,938m2,217m2,4,0,as new
Heerweg   6,house,house,457100,for sale,3,1,0,0,0,0,993m2,217m2,4,0,as new
Kapellebaan   62,house,house,461200,for sale,3,1,0,0,0,0,578m2,208m2,3,0,as new
Kapellebaan   62          Box A,house,house,467200,for sale,3,1,0,0,0,0,749m2,208m2,3,0,as new
Heerweg   8,house,house,479400,for sale,4,1,0,0,0,0,995m2,198m2,4,0,as new
Heerweg   4,house,house,479400,for sale,4,1,0,0,0,0,940m2,198m2,4,0,as new
Waversesteenweg   52,house,mixed use building,500000,for sale,4,1,0,0,0,1,435m2,543m2,2,0,to be done up
Leernsesteenweg   68/B,house,house,520000,for sale,4,1,0,0,0,0,0m2,nullm2,nu,0,as new
Rue Le Tintoret - Tintorettostraat   *,house,house,685000,for sale,0,1,0,0,1,0,94m2,200m2,2,0,as new
"Rijselstraat   9,B",house,mansion,690000,for sale,5,0,0,0,0,0,480m2,296m2,2,0,good
Hennemarkt   7,house,mixed use building,749000,for sale,3,0,0,0,0,1,241m2,325m2,2,0,good
6700    —        BONNERT      |,house,villa,1050000,for sale,4,1,0,1,0,1,3350m2,500m2,4,0,good
6700    —        BONNERT      |,house,house,1050000,for sale,4,1,0,1,0,1,3350m2,500m2,4,0,good
Schuilhavenlaan   2          Box 22,house,house,1450000,for sale,2,1,0,0,1,1,300m2,190m2,4,1,just renovated
Vinkenlaan   28,house,house,375000,for sale,5,0,0,0,1,0,310m2,315m2,3,0,as new
Leendreef   21,house,house,490000,for sale,3,0,0,0,1,1,4412m2,274m2,4,0,good
Gaversesteenweg   41,house,villa,695000,for sale,3,1,0,0,1,0,1534m2,195m2,nu,0,as new
Avenue de Limburg Stirum   178,house,apartment block,795000,for sale,0,0,0,0,0,0,566m2,367m2,2,0,good
Aalbeeksestraat   3,house,house,130000,for sale,3,1,0,0,1,1,135m2,165m2,nu,0,good
Quai Armand Follet   5,house,house,144500,for sale,2,1,0,0,1,1,113m2,110m2,3,0,to be done up
7134    —        LEVAL-TRAHEGNIES      |,house,house,175000,for sale,3,1,0,0,0,1,230m2,136m2,3,0,just renovated
Rue Thier du Mont   7,house,house,260000,for sale,3,1,0,0,1,1,712m2,150m2,3,0,good
18de zijweg   4,house,house,265000,for sale,3,1,0,0,0,1,71m2,127m2,2,0,just renovated
Okegembaan   286,house,house,275000,for sale,3,1,0,0,1,1,517m2,150m2,nu,0,as new
Rue du Mont-Blanc   2,house,house,420000,for sale,5,0,0,0,0,1,0m2,155m2,2,0,to renovate
Vlietstraat   15,house,house,1180000,for sale,5,1,0,0,0,1,705m2,350m2,2,0,as new
Donkerstraat   46,house,villa,1199000,for sale,4,0,0,0,0,0,8470m2,302m2,4,0,as new
Donkerstraat   46,house,house,1199000,for sale,4,0,0,0,0,0,8470m2,302m2,4,0,as new
1180    —        Uccle      |,house,house,150000,for sale,3,1,0,0,1,0,348m2,200m2,3,0,good
Bergstraat   8.7,house,house,232948,for sale,3,1,0,0,0,1,84m2,155m2,2,0,
De Villegas de Clercampstraat   75,house,apartment block,695000,for sale,0,0,0,0,0,0,320m2,342m2,2,0,good
Parklaan   75,house,exceptional property,1075000,for sale,5,1,0,0,1,1,490m2,434m2,2,0,good
Ferdinand Vervaeckestraat   3,house,house,260000,for sale,4,1,0,0,1,1,192m2,155m2,nu,0,good
Goedendaglaan   109,house,house,290000,for sale,5,1,0,0,0,1,225m2,168m2,nu,0,good
TREKWEG   18,house,house,349000,for sale,3,1,0,0,0,0,300m2,nullm2,nu,0,to renovate
Allée des Ploktrèsses   1,house,house,277500,for sale,3,1,0,0,0,1,245m2,136m2,2,0,as new
Sint-Jansstraat   28,house,house,275000,for sale,4,0,0,0,0,0,275m2,nullm2,2,0,just renovated
Heidebloemstraat   22,house,house,360000,for sale,2,0,0,0,0,0,185m2,151m2,2,0,as new
Nieuwstraat   26,house,house,420000,for sale,3,1,0,0,1,1,428m2,215m2,3,0,just renovated
1400    —        Nivelles      |,house,house,195000,for sale,2,1,0,1,0,0,124m2,80m2,2,0,to be done up
"Tsjompenkouter   12,",house,house,595000,for sale,5,1,0,0,0,1,2435m2,304m2,4,1,good
3500    —        Hasselt      |,house,villa,1095000,for sale,4,1,0,1,0,0,1038m2,344m2,nu,0,good
Avenue des Pâquerettes   39,house,house,70000,for sale,3,1,0,0,0,1,312m2,130m2,3,0,to be done up
Rue Jules Cerexhe   72/74,house,mixed use building,180000,for sale,4,1,0,0,0,1,139m2,246m2,3,0,as new
Allemansweg   124,house,house,225000,for sale,3,1,0,1,0,0,1035m2,128m2,3,0,good
Wijngaardstraat   72,house,house,239000,for sale,5,0,0,0,1,1,150m2,180m2,2,0,
Verbindingsstraat   15,house,house,349000,for sale,4,1,0,0,0,0,598m2,186m2,3,0,
Rue de l'&#201;glise   31,house,house,375000,for sale,3,1,0,0,0,0,3605m2,nullm2,2,0,to renovate
1380    —        COUTURE-SAINT-GERMAIN      |,house,villa,695000,for sale,4,1,0,1,0,0,4800m2,277m2,4,0,to be done up
Leopold II laan   194,house,apartment block,1169000,for sale,8,1,1,0,0,1,195m2,382m2,2,0,as new
Rue du Velodrome   147,house,house,140000,for sale,5,1,0,0,1,1,181m2,156m2,3,0,good
Rue du Velodrome   147,house,house,140000,for sale,5,1,0,0,1,1,181m2,156m2,3,0,good
Dam   55,house,house,274000,for sale,2,1,0,0,1,1,681m2,150m2,3,0,to renovate
Maaldreef   61,house,house,329000,for sale,3,0,0,0,0,1,258m2,155m2,nu,0,to be done up
Lusthoflaan   56,house,house,435000,for sale,3,1,0,0,0,1,300m2,150m2,nu,0,as new
Hazenstraat   19,house,house,575000,for sale,5,1,0,0,0,0,800m2,275m2,nu,1,as new
1030    —        Schaerbeek      |,house,apartment block,870000,for sale,7,0,0,0,1,1,160m2,450m2,2,0,to renovate
Rue des Glaces Nationales   51,house,house,139000,for sale,4,1,0,0,0,1,150m2,171m2,,0,
Dinantstraat   4a,house,house,359000,for sale,3,1,0,0,1,1,352m2,354m2,2,0,just renovated
Avenue Marie-José - Marie-Josélaan   88,house,house,980000,for sale,5,1,0,0,1,1,178m2,320m2,2,0,good
Rue Pierre-Joseph Antoine   39,house,house,20000,for sale,4,1,0,0,0,0,0m2,130m2,nu,0,good
entre Boverie et Pairay   1,house,mixed use building,40000,for sale,2,1,0,0,0,1,380m2,95m2,2,0,good
Proche du centre de Neuville-en-Condroz   1,house,villa,40000,for sale,4,1,0,0,0,0,900m2,130m2,4,0,good
Rue Arthur Defoin   230,house,house,74000,for sale,3,1,0,0,1,0,310m2,120m2,nu,0,to renovate
Rue de Pintamont   43,house,house,115000,for sale,4,1,0,0,0,0,87m2,160m2,nu,0,to renovate
Kerkstraat   1,house,house,129000,for sale,4,1,0,0,0,1,115m2,196m2,nu,0,to renovate
Rue Basse Marquet   10,house,house,139000,for sale,4,0,0,0,1,1,365m2,280m2,3,0,to renovate
Rue Lombry   43          Box A,house,house,139000,for sale,3,1,0,0,1,0,365m2,124m2,nu,0,good
Rue Emile Verhaeren   80,house,house,140000,for sale,3,1,0,0,0,0,140m2,156m2,4,0,good
Rue du Mousty   6,house,house,159000,for sale,5,1,0,0,0,0,7166m2,180m2,4,0,to renovate
Spinstersstraat   28,house,house,159500,for sale,2,0,0,0,0,0,120m2,100m2,3,0,good
Spinstersstraat   28,house,house,159500,for sale,2,0,0,0,0,0,120m2,100m2,3,0,good
Rue Quewée   1,house,house,159900,for sale,3,1,0,0,1,0,360m2,105m2,3,0,to renovate
Route Provinciale   38,house,house,168000,for sale,2,1,0,0,0,1,221m2,100m2,nu,0,good
Dreve d'Ormes   12,house,house,169000,for sale,2,1,0,0,1,1,289m2,102m2,3,0,good
Koningin Elisabethlaan   66,house,house,169000,for sale,3,1,0,0,0,1,80m2,105m2,nu,0,good
Vichtesteenweg   264,house,house,170000,for sale,2,1,0,0,1,1,431m2,155m2,nu,0,good
Vlaswaagplein   8,house,house,175000,for sale,3,1,0,0,0,1,75m2,100m2,nu,0,good
David Teniersstraat   4,house,house,175000,for sale,3,1,0,0,0,1,184m2,110m2,nu,0,to be done up
Warandestraat   159,house,house,178000,for sale,2,1,0,0,0,1,312m2,127m2,nu,0,good
Charreau de Dréhance   13,house,house,180000,for sale,2,1,0,0,1,1,200m2,100m2,nu,0,good
Hille   159,house,house,180000,for sale,4,1,0,0,0,1,325m2,148m2,nu,0,good
Hille   159,house,house,180000,for sale,4,1,0,0,1,1,325m2,138m2,nu,0,to renovate
1400    —        Nivelles      |,house,house,185000,for sale,1,0,0,0,0,0,84m2,135m2,2,0,just renovated
Nieuwe Kalsijde   4,house,house,190000,for sale,4,1,0,0,0,1,290m2,140m2,nu,0,to be done up
Station Straat   170,house,house,195000,for sale,3,1,0,0,0,1,110m2,140m2,nu,0,good
Diksmuidsesteenweg   65,house,house,195000,for sale,4,1,0,0,0,1,95m2,193m2,nu,0,good
